EventDate	EventTime	Description	Value
16.06.2023	19:32:35	Серверная № 2	5.0
16.06.2023	19:32:35	Серверная № 1	28.3
16.06.2023	19:32:35	Аппаратная №1	26.0
16.06.2023	19:32:35	ТЭ датчик № 1	60.4
16.06.2023	19:32:35	СГЭ	33.9
16.06.2023	19:32:35	ДГУ	40.8
16.06.2023	19:32:35	Техн.помещ. ДП	20.7
16.06.2023	19:32:35	ДП (Дисп.пункт)	22.7
