EventDate	EventTime	Description	Value
16.11.2021	11:44:27	Серверная № 2	18.4
16.11.2021	11:44:27	Серверная № 1	18.4
16.11.2021	11:44:27	Аппаратная №1	21.1
16.11.2021	11:44:27	ТЭ датчик № 1	18.3
16.11.2021	11:44:27	СГЭ	20.2
16.11.2021	11:44:27	ДГУ	22.7
16.11.2021	11:44:27	Техн.помещ. ДП	20.6
16.11.2021	11:44:27	ДП (Дисп.пункт)	23.1
