EventDate	EventTime	Description	Value
21.09.2021	13:11:27	Серверная № 2	21,7
21.09.2021	13:11:27	Серверная № 1	19,9
21.09.2021	13:11:27	Аппаратная №1	18,9
21.09.2021	13:11:27	ТЭ датчик № 1	21,6
21.09.2021	13:11:27	СГЭ	20,1
21.09.2021	13:11:27	ДГУ	26
21.09.2021	13:11:27	Техн.помещ. ДП	19,1
21.09.2021	13:11:27	ДП (Дисп.пункт)	24,1
