EventDate	EventTime	Description	Value
09.12.2021	12:55:28	Серверная № 2	18.2
09.12.2021	12:55:28	Серверная № 1	18.6
09.12.2021	12:55:28	Аппаратная №1	20.7
09.12.2021	12:55:28	ТЭ датчик № 1	22.6
09.12.2021	12:55:28	СГЭ	20.8
09.12.2021	12:55:28	ДГУ	20.3
09.12.2021	12:55:28	Техн.помещ. ДП	20.8
09.12.2021	12:55:28	ДП (Дисп.пункт)	23.8
