EventDate	EventTime	Description	Value
20.09.2021	10:21:31	Серверная № 2	19,2
20.09.2021	10:21:31	Серверная № 1	19,7
20.09.2021	10:21:31	Аппаратная №1	19,7
20.09.2021	10:21:31	ТЭ датчик № 1	27,2
20.09.2021	10:21:31	СГЭ	20,2
20.09.2021	10:21:31	ДГУ	25,9
20.09.2021	10:21:31	Техн.помещ. ДП	20,2
20.09.2021	10:21:31	ДП (Дисп.пункт)	24,8
